Species,common
Berardius arnuxii,Arnoux's beaked whale
Berardius bairdii,Baird's beaked whale
Berardius minimus,Sato's beaked whale
Cephalorhynchus commersonii,Commerson's dolphin
Cephalorhynchus eutropia,Chilean dolphin
Cephalorhynchus heavisidii,Heaviside's dolphin
Cephalorhynchus hectori,Hector's dolphin
Delphinapterus leucas,Beluga whale
Delphinus delphis,Short-beaked common dolphin
Feresa attenuata,Pygmy killer whale
Globicephala macrorhynchus,Short-finned pilot whale
Globicephala melas,Long-finned pilot whale
Grampus griseus,Risso's dolphin
Hyperoodon ampullatus,Northern bottlenose whale
Hyperoodon planifrons,Southern bottlenose whale
Indopacetus pacificus,Tropical bottlenose whale
Inia geoffrensis,Boto
Kogia breviceps,Pygmy sperm whale
Kogia sima,Dwarf sperm whale
Lagenodelphis hosei,Fraser's dolphin
Lagenorhynchus acutus,Atlantic white-sided dolphin
Lagenorhynchus albirostris,White-beaked dolphin
Lagenorhynchus australis,Peale's dolphin
Lagenorhynchus cruciger,Hourglass dolphin
Lagenorhynchus obliquidens,Pacific white-sided dolphin
Lagenorhynchus obscurus,Dusky dolphin
Lipotes vexillifer,Baiji
Lissodelphis borealis,Northern right whale dolphin
Lissodelphis peronii,Southern right whale dolphin
Mesoplodon bidens,Sowerby's beaked whale
Mesoplodon bowdoini,Andrews' beaked whale
Mesoplodon carlhubbsi,Hubbs' beaked whale
Mesoplodon densirostris,Blainville's beaked whale
Mesoplodon eueu,Ramari's beaked whale
Mesoplodon europaeus,Gervais's beaked whale
Mesoplodon ginkgodens,Ginkgo-toothed beaked whale
Mesoplodon grayi,Gray's beaked whale
Mesoplodon hectori,Hector's beaked whale
Mesoplodon hotaula,Deraniyagala's beaked whale
Mesoplodon layardii,Strap-toothed whale
Mesoplodon mirus,True's beaked whale
Mesoplodon perrini,Perrin's beaked whale
Mesoplodon peruvianus,Peruvian beaked whale
Mesoplodon stejnegeri,Stejneger's beaked whale
Mesoplodon traversii,Spade-toothed whale
Monodon monoceros,Narwhal
Neophocaena phocaenoides,Indo-Pacific finless porpoise
Neophocaena asiaeorientalis,Narrow-ridged finless porpoise
Orcaella brevirostris,Irrawaddy dolphin
Orcaella heinsohni,Australian snubfin dolphin
Orcinus orca,Killer whale
Peponocephala electra,Melon-headed whale
Phocoena dioptrica,Spectacled porpoise
Phocoena phocoena,Harbour porpoise
Phocoena sinus,Vaquita
Phocoena spinipinnis,Burmeister's porpoise
Phocoenoides dalli,Dall's porpoise
Physeter macrocephalus,Sperm whale
Platanista gangetica,Ganges River dolphin
Platanista minor,Indus River dolphin
Pontoporia blainvillei,Franciscana
Pseudorca crassidens,False killer whale
Sotalia fluviatilis,Tucuxi
Sotalia guianensis,Guiana dolphin
Sousa chinensis,Indo-pacific humpbacked dolphin
Sousa plumbea,Indian ocean humpback dolphin
Sousa sahulensis,Australian humpback dolphin
Sousa teuszii,Atlantic humpback dolphin
Stenella attenuata,Pantropical spotted dolphin
Stenella clymene,Clymene dolphin
Stenella coeruleoalba,Striped dolphin
Stenella frontalis,Atlantic spotted dolphin
Stenella longirostris,Spinner dolphin
Steno bredanensis,Rough-toothed dolphin
Tasmacetus shepherdi,Shepherd's beaked whale
Tursiops aduncus,Indo-pacific bottlenose dolphin
Tursiops truncatus,Common bottlenose dolphin
Ziphius cavirostris,Cuvier's beaked whale
